X,Y,Z,Roll,Pitch,Yaw
0.627906450946097,0.130276070252188,0.0361435357730262,-3,-29,41
0.676511834111945,0.229108746124486,-0.12800432898524,0,35,38
0.693349912930809,0.109139039536952,0.0544091702818782,9,-17,44
0.489886922113409,-0.118392814562697,0.0320580872678462,6,-14,-20
0.676511834111945,0.0827052428970994,-0.04589740474474,3,32,8
0.58316368318087,0.0226840902923173,0.0512780204977928,3,-11,17
0.685451259173471,0.165994602206451,-0.113980959348636,0,38,44
0.603586091914663,0.120258373082237,0.0880177895201353,-6,-8,44
0.594525927230218,0.145090859131462,0.0394551417953415,6,-32,29
0.677484585932156,0.0804215440716017,0.0366300448230494,15,-20,41
0.58316368318087,0.0207201107548671,0.0824897741987958,12,-35,29
0.560433645531078,0.157191730626545,-0.084322972208306,-9,8,29
0.670818981045404,0.217500315981152,-0.0136314907738163,-3,41,35
0.589637089592245,-0.031194872021398,-0.04705932488716,-3,35,-38
0.519903991259561,0.0763474260783805,0.0736189853232866,-9,-38,23
0.692618885549002,0.0502340095214689,-0.0682104741478717,-0,11,14
0.640817943779089,0.147000659945189,0.0998115016499637,-6,-14,41
0.626672233402721,-0.104825580831116,0.0235112476179619,6,-23,-14
0.573381261522451,-0.040301166820939,-0.0448738607949118,-9,26,-20
0.688853309627638,0.205729404209966,0.0979510154470344,-3,-32,20
0.614371918605476,0.161329905896681,-0.0795780642752592,-6,20,5
0.562010602993996,-0.111810199967225,0.0848409899357672,15,-23,-38
0.523789758812547,-0.0303284951274504,0.0535032254535194,15,-44,-5
0.655148872665742,-0.12982140012348,0.0455636784490946,12,-23,-41
0.593438961503214,-0.126108565323158,0.066317628849531,-15,-8,-26
0.678390279181088,0.238168756121295,-0.101680324410765,0,44,38
0.69652858705635,0.167275110880907,-0.0646018139338392,-3,38,11
0.568277637032354,0.173215143080509,0.0401788119137881,-9,-20,41
0.63734043068803,0.141336270281417,-0.0706290133641286,6,14,38
0.68471256312995,-0.0541836544938817,-0.0859459459274889,0,14,-26
0.633905824230456,-0.209235418434671,-0.113041200483891,3,14,-8
0.62873400154841,0.0852643957115325,-0.0747547319656191,-6,44,23
0.52611666009405,-0.147444615617785,0.0166617082023722,3,-38,-29
0.672493357219943,-0.194542534665661,-0.135461734406768,-0,26,-38
0.609462659487096,-0.148683481089583,-0.0193250576888771,12,44,-17
0.682306533563882,-0.181004510996462,-0.128984576603424,3,26,-5
0.563445379356471,-0.0844124386722714,-0.0842452926733748,15,23,-44
0.584392236524713,-0.0966540469337706,0.0285459266749154,-0,-5,-44
0.63909384396297,0.174339685763931,0.120303083650742,9,-11,44
0.548645682061317,-0.0981025235611059,0.0334073101751037,-12,-23,-23
0.515219729905721,0.0780134578311126,0.0653087727672501,-15,-26,26
0.649917463503296,0.17256370236755,-0.0232657991556235,-6,20,38
0.551139239932395,0.0992387983169528,0.0233578704023421,0,-35,14
0.452446411140908,0.0623536551292445,-0.022151452046605,0,26,26
0.632559788305966,-0.0902051416875478,-0.0817316769249151,-12,23,-5
0.649917463503296,-0.145047570559621,0.0554286955591487,6,-35,-35
0.567397388445478,0.162344376745717,-0.0647807328605948,6,14,32
0.648438169170785,0.180199485181749,-0.049654375583045,3,5,38
0.568277637032354,0.083514849751578,-0.0169129963088588,-9,32,17
0.678390279181088,0.0711833822457843,-0.0729301053366572,3,44,23
0.669298604277676,0.0930086346320684,0.134840352888141,3,-14,14
0.649287257671752,0.037301709000446,0.0998582887502882,-15,-41,38
0.600134311809629,-0.0533565986028594,0.0502940262819744,-12,-32,-11
0.612267250370934,-0.104323685635892,0.104794841707872,-3,-26,-23
0.69776934087515,-0.180772161249679,0.142813669424184,12,-5,-23
0.688853309627638,-0.103456265746418,-0.136733992159838,3,8,-32
0.63734043068803,0.0551866975841471,0.08540574732411,3,-29,38
0.649287257671752,0.218730800469074,0.073837691018205,9,-44,23
0.626145609951143,0.129290253901088,-0.0672469758414405,0,20,5
0.551877341963144,-0.0910705155145933,0.066858302100428,6,-17,-38
0.503972619110885,-0.052927289133884,0.0308810022067429,-6,-20,-32
0.561401650330692,0.151338888305359,-0.0370611981345726,9,29,41
0.486238184040503,-0.113974962380999,0.0366143909883212,15,-44,-41
0.62286968247593,-0.0397921781455887,0.0381385011539124,15,-38,-8
0.652183484235463,0.0407366667236176,0.0613150684483858,15,-17,35
0.611662188161973,0.200128252688297,0.0652775555431052,-0,-29,20
0.60753085256067,-0.161439331643711,-0.101692827210508,-12,35,-44
0.640817943779089,-0.216734419968358,-0.103497122883381,-3,23,-11
0.648438169170785,0.190110203419649,-0.0988700688058302,-0,41,8
0.53312177212176,-0.0290316968731445,0.0236381304651016,-9,-32,-41
