X,Y,Z,R,P,Y
0.522115768408511,-0.0447820053040599,0.0463711820546647,6,-5,-26
0.688097144622604,-0.158746552319644,0.0416181202347405,-0,-44,-29
0.707515282312293,-0.0813222695736264,-0.119373967317974,3,35,-20
0.637336103598729,0.112162018526514,-0.0987239835080382,12,14,29
0.73234146189339,0.234007205720539,0.161158318733927,-15,-8,35
0.617512033476101,-0.0597738360874807,-0.0777040653439453,6,29,-44
0.685851664524033,0.136596774858394,0.0281914282795138,-0,-35,44
0.726749076498267,-0.0545217631665994,0.0708374900094914,0,-11,-8
0.644170019522734,0.105253458669333,-0.0275800598383689,12,29,44
0.653717460492168,0.0919317624667443,0.0751693071706272,-0,-44,11
0.737667394670034,0.263311286541412,0.0616119795719966,9,-5,26
0.611508460886238,0.0916376923727659,0.0736837880706685,15,-44,41
0.593291392914049,-0.126284428795155,-0.013541164298479,-9,44,-11
0.692727364703398,-0.0767214188511401,0.0398704841678517,9,-41,-17
0.567295689257802,0.0798823851958739,0.0330402352162109,6,-32,17
0.627714211692044,0.0733381935284298,0.110945334142932,-12,-8,26
0.682990643261129,-0.110489673426592,-0.104266662658151,12,26,-5
0.677476844347377,-0.162591135566312,0.0920249086297966,12,-17,-17
0.631828875913011,-0.203369641941588,-0.062009245062576,15,11,-35
0.743413514795703,0.210833278263213,-0.141623583017934,0,5,20
0.592674135235936,-0.0966351580447253,0.077626687699559,9,-20,-32
0.73234146189339,0.238521938538667,-0.113907953246892,-12,20,5
0.68139585459726,-0.219138572332866,-0.0896668556867645,15,44,-35
0.568929605527114,-0.115891703212738,-0.0486463614615538,-9,26,-32
0.73234146189339,0.210481537669977,-0.136087139465802,-0,29,29
