X,Y,Z,Roll,Pitch,Yaw
0.689459287626781,-0.166016174653689,-0.0938343432903618,3,32,-26
0.67780836296496,0.189439348296378,-0.058753579257604,-3,23,38
0.624528524766061,0.0793596111830771,0.084438423440689,-9,-32,35
0.599477618440033,0.169923000178148,0.0449479949135545,0,-26,26
0.512267957254823,-0.0945872129719534,0.0320019200436648,12,-11,-38
0.633458732276741,0.0840239192456813,-0.0500557369494474,-12,41,8
0.647347448440224,-0.208680672610978,0.0742096911208331,9,-26,-29
0.660453710328732,-0.0925761707643426,0.0442966631974692,6,-35,-38
0.45141470318132,-0.028522408970891,0.0246488228836743,6,-35,-35
0.578973204890949,-0.0688878978382379,0.0245674408978272,-3,-26,-32
0.628512275339861,-0.0997652853288453,-0.0599348229023146,12,41,-44
0.619779753576208,-0.139011250215078,-0.0418431217348563,-9,26,-11
0.618419743725535,-0.0622985387330921,-0.0390179371810353,12,32,-35
0.603082409658208,-0.0791966784959856,0.0916278185580285,3,-41,-26
0.553490218938586,-0.0505252786899754,0.0680260846783417,6,-8,-11
0.670165425423161,0.207716292082517,-0.0371485838780547,3,44,5
0.523513057703738,-0.109203712977883,0.0519450442430109,3,-14,-11
0.563138835855038,-0.111410072421308,-0.0607271120835547,12,35,-32
0.68824979578437,-0.137123664140922,0.131606330757256,6,-8,-20
0.665664298759937,-0.0890950600211671,0.106498421556507,-6,-26,-44
0.563138835855038,0.0363455264975045,-0.0318025674973905,9,8,32
0.599477618440033,-0.195814763669885,-0.0811927510147929,-3,38,-26
0.625269744162562,-0.100644290993657,0.06171645490026,12,-29,-26
0.647347448440224,0.223447749270492,-0.130850046275192,-6,5,35
0.669640037798607,-0.156905173872496,0.133848091031534,0,-29,-44
0.619779753576208,0.130403863830488,-0.0307536574532383,-3,11,35
0.496666388171135,0.113648159642467,0.0210820133202733,3,-44,44
0.571407122687197,0.0751328018381571,-0.0958762183407691,-15,26,38
0.645472161815406,0.121879597364639,0.0642267177090519,-12,-38,29
0.492070728426146,0.0996898537626,0.0576095358484822,0,-41,44
0.594630255355228,0.142819469307743,-0.100301117291239,6,20,35
0.578973204890949,-0.177828866903094,0.0444573202875325,-9,-23,-32
0.571407122687197,0.130145036063796,-0.0347291977405324,12,5,14
0.538405519302099,0.0285232008407254,-0.0679924004294903,-3,44,26
0.694796722661076,-0.164128321563942,-0.0421859549267004,-0,29,-11
0.697601766553682,-0.141041425059289,0.111693803708583,-12,-35,-29
0.644249621793771,0.194544170029359,-0.0529758425047907,-9,11,20
0.536760608814284,-0.118072442390759,0.0364568594999117,-6,-32,-14
0.594630255355228,-0.166177428141273,-0.0617583022598201,15,23,-11
0.689459287626781,-0.246232161913464,0.091167828019641,9,-20,-23
0.642521798134077,-0.150962474586669,0.123364948137339,-0,-11,-32
0.556638979058276,-0.105622414564229,-0.0265838271633924,12,44,-11
0.506724754989512,-0.0399465133879845,0.0251062498671657,3,-26,-8
0.539029699375246,-0.0761314981735511,-0.0315840658010032,-6,32,-38
0.655503734865662,-0.125272918655831,0.0837787285552395,12,-41,-5
0.451947567107783,0.100285248253837,-0.0301031639651213,15,41,11
0.587084376159667,-0.135629706364214,-0.0968998212112359,15,23,-17
0.670165425423161,-0.0803823261111107,-0.0336895966918098,3,44,-38
0.587689857939678,0.0941318559055048,-0.0272489606676459,3,35,32
0.698495448666261,0.0513727047018933,-0.127397678489427,-6,14,20
